title,url,image,category,date,content
How can you reliably spot a fake smile? Ask a computer,https://techxplore.com/news/2019-07-reliably-fake.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/smile.jpg,Machine Learning & AI,"Jul 29, 2019","Real and fake smiles can be tricky to tell apart, but researchers at the University of Bradford have now developed computer software that can spot false facial expressions."
Firefox Reality browser plus Oculus Quest are prom king and queen,https://techxplore.com/news/2019-07-firefox-reality-browser-oculus-quest.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/oculus.jpg,Consumer & Gadgets,"Jul 28, 2019","Grandma, is it true people in 2019 had to browse the web in 2-D? Mozilla has this time raised web browsing to another level with its virtual reality web browser, Firefox Reality, released for Oculus Quest headsets. Immersion ..."
Bionic vision system works with augmented reality glasses,https://techxplore.com/news/2019-07-bionic-vision-augmented-reality-glasses.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/bionicvision.jpg,Hi Tech & Innovation,"Jul 28, 2019",A company focused on a bionic vision system sees hope for improvements in patients by means of a wireless sub-retinal implant together with augmented reality glasses.
Drones will fly for days with new photovoltaic engine,https://techxplore.com/news/2019-07-drones-days-photovoltaic.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/1-droneswillfl.jpg,Energy & Green Tech,"Jul 26, 2019","UC Berkeley researchers just broke another record in photovoltaic efficiency, an achievement that could lead to an ultralight engine that can power drones for days."
Crowdfunding an undershirt device for sweltering suits,https://techxplore.com/news/2019-07-crowdfunding-undershirt-device-sweltering.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/1-crowdfunding.jpg,Consumer & Gadgets,"Jul 26, 2019",Sony has come up with a wearable air conditioner. It's called the Reon Pocket.  It is a tiny AC unit that fits right inside the shirt. The device takes a battery; the person adjusts the temperature by smartphone via a Bluetooth ...
Solar energy becomes biofuel without solar cells,https://techxplore.com/news/2019-07-solar-energy-biofuel-cells.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2018/energy.jpg,Energy & Green Tech,"Jul 26, 2019","Soon we will be able to replace fossil fuels with a carbon-neutral product created from solar energy, carbon dioxide and water. Researchers at Uppsala University have successfully produced microorganisms that can efficiently ..."
Yellow is not the new black: Discovery paves way for new generation of solar cells,https://techxplore.com/news/2019-07-yellow-black-discovery-paves-solar.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/yellowisnott.jpg,Energy & Green Tech,"Jul 26, 2019","A study led by KU Leuven for the first time explains how a promising type of perovskites—man-made crystals that can convert sunlight into electricity—can be stabilized. As a result, the crystals turn black, enabling them ..."
The internet is rotting: Thousands of sites go offline each year,https://techxplore.com/news/2019-07-internet-thousands-sites-offline-year.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/3-theinterneti.jpg,Internet,"Jul 26, 2019",I have just taken an entire website and gigabytes of data offline. It covered a highly successful series of conferences on the data economy. It brought together thought leaders and key decision-makers from around the world ...
Researchers pave the way to salt-resistant concrete,https://techxplore.com/news/2019-07-pave-salt-resistant-concrete.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/21-researchersp.jpg,Engineering,"Jul 26, 2019",Pavements could soon be saved from some of the ravages of the winter chill thanks to a new type of low-cost concrete that absorbs significantly less of the salt that gets spread on it annually.
Researchers develop a method to identify computer-generated text,https://techxplore.com/news/2019-07-method-computer-generated-text.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2014/text.jpg,Internet,"Jul 26, 2019","In a world of Deep Fakes and far too human natural language AI, researchers at the Harvard John A. Paulson School of Engineering and Applied Sciences (SEAS) and IBM Research asked: Is there a better way to help people detect ..."
VPN providers address vulnerability findings by researchers,https://techxplore.com/news/2019-07-vpn-vulnerability.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/vpn.jpg,Security,"Jul 25, 2019","Virtual private networks (VPNs) are engineered to encrypt traffic between points on the internet. As Computing put it, they extend a private network across a public network, ""often used to enable staff working remotely to ..."
High-performance flow batteries offer path to grid-level renewable energy storage,https://techxplore.com/news/2019-07-high-performance-batteries-path-grid-level-renewable.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2018/1-battery.jpg,Energy & Green Tech,"Jul 25, 2019","A low-cost, high-performance battery chemistry developed by University of Colorado Boulder researchers could one day lead to scalable grid-level storage for wind and solar energy that could help electrical utilities reduce ..."
"Transforming biology to design next-generation computers, using a surprise ingredient",https://techxplore.com/news/2019-07-biology-next-generation-ingredient.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/3-transforming.jpg,Engineering,"Jul 25, 2019",Moore's law—which says the number of components that could be etched onto the surface of a silicon wafer would double every two years—has been the subject of recent debate. The quicker pace of computing advancements in ...
The origin and future of spam and other online intrusions,https://techxplore.com/news/2019-07-future-spam-online-intrusions.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/theoriginand.jpg,Internet,"Jul 25, 2019","From a confidence trick originating in the late 19th century, to sophisticated AI that can manipulate reality, recreating anyone's face or voice with almost pinpoint accuracy—spam has come a long way."
Expanding the limits of personalized medicine with high-performance computing,https://techxplore.com/news/2019-07-limits-personalized-medicine-high-performance.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/5-expandingthe.jpg,Computer Sciences,"Jul 25, 2019","What should personalized, precision treatment of cancer look like in the future? We know that people are different, their tumors are different, and they respond differently to different therapies. Medical teams of the future ..."
New AI tool identifies cancer outcomes using radiology reports,https://techxplore.com/news/2019-07-ai-tool-cancer-outcomes-radiology.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/1-cancer.jpg,Machine Learning & AI,"Jul 25, 2019",Scientists at Dana-Farber Cancer Institute have demonstrated that an artificial intelligence tool can perform as well as human reviewers—and much more rapidly—in extracting clinical information regarding changes in tumors ...
Underground water pipes: Another way for cities to keep cool,https://techxplore.com/news/2019-07-underground-pipes-cities-cool.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/proponentsof.jpg,Engineering,"Jul 25, 2019","As Paris swelters in record-breaking heat, visitors to some of the French capital's iconic landmarks are being kept cool without even knowing it by a labyrinthine network of underground water pipes."
Eliminating bias in AI,https://techxplore.com/news/2019-07-bias-ai.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/eliminatingb.jpg,Machine Learning & AI,"Jul 25, 2019","In human beings, intelligence is no inoculation against bias and bigotry. The same holds true for computers. Intelligent machines learn about the world through the filters of human language and historical behaviour—meaning ..."
Peloton's Level 4 connection could turn page for trucking industry,https://techxplore.com/news/2019-07-peloton-page-trucking-industry.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/1-truck.jpg,Automotive,"Jul 18, 2019","A Mountain View, California, company has a vision of driver assistive truck platooning as a potential change maker for the trucking industry—in a good way, namely, carrying with it safety and fuel efficiency."
Researchers develop e-skin to give robots and prosthetics a sense of touch,https://techxplore.com/news/2019-07-e-skin-robots-prosthetics.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/5d304d514d694.jpg,Robotics,"Jul 18, 2019","Unique sensor system responds 1,000 times faster than the human sense of touch, the fastest ever achieved for an e-skin"
Researchers implant sensors for wireless control of muscle signal transmission following nerve transfers,https://techxplore.com/news/2019-07-implant-sensors-wireless-muscle-transmission.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/5d30622434c6f.jpg,Robotics,"Jul 18, 2019",Research in the field of wireless biosignal transmission is no longer a fringe phenomenon in the field of modern prosthetics. A large number of international research groups are working on potential solutions to create a ...
A method to reduce the number of neurons in recurrent neural networks,https://techxplore.com/news/2019-07-method-neurons-recurrent-neural-networks.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/amethodtored.jpg,Machine Learning & AI,"Jul 17, 2019","A team of researchers at Queen's University, in Canada, have recently proposed a new method to downsize random recurrent neural networks (rRNN), a class of artificial neural networks that is often used to make predictions ..."
Inspired by water lilies: A hierarchical design for solar evaporation of high salinity brine,https://techxplore.com/news/2019-07-lilies-hierarchical-solar-evaporation-high.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/awaterlilyin.jpg,Energy & Green Tech,"Jul 17, 2019","Interfacial solar vapor generation has great potential for desalination and wastewater treatment with high energy conversion efficacy. High water evaporation rates cannot be maintained using existing techniques, however, ..."
Wing app for drone traffic safety gets nod in Australia,https://techxplore.com/news/2019-07-wing-app-drone-traffic-safety.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/3-drone.jpg,Software,"Jul 17, 2019","Delivery drones zipping across skies is a business model that can work if there is a safety system in place for avoiding collisions. Think major events such as sporting matches, concerts and emergency response incidents. ..."
First programmable memristor computer aims to bring AI processing down from the cloud,https://techxplore.com/news/2019-07-programmable-memristor-aims-ai-cloud.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/firstprogram.jpg,Hardware,"Jul 17, 2019",The first programmable memristor computer—not just a memristor array operated through an external computer—has been developed at the University of Michigan.
Surprise finding uncovers new capability for semiconductor material,https://techxplore.com/news/2019-07-uncovers-capability-semiconductor-material.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/1-surprisefind.jpg,Hardware,"Jul 17, 2019","Scientists have taken a common component of digital devices and endowed it with a previously unobserved capability, opening the door to a new generation of silicon-based electronic devices."
Harvesting energy from the human knee,https://techxplore.com/news/2019-07-harvesting-energy-human-knee.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/1-harvestingen.jpg,Energy & Green Tech,"Jul 17, 2019","Imagine powering your devices by walking. With technology recently developed by a group of researchers at the Chinese University of Hong Kong, that possibility might not be far out of reach."
DNA origami joins forces with molecular motors to build nanoscale machines,https://techxplore.com/news/2019-07-dna.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/anewspinondna.jpg,Engineering,"Jul 17, 2019","Every year, robots get more and more life-like. Solar-powered bees fly on lithe wings, humanoids stick backflips, and teams of soccer bots strategize how to dribble, pass, and score. And, the more researchers discover about ..."
Tiny vibration-powered robots the size of the world's smallest ant,https://techxplore.com/news/2019-07-tiny-vibration-powered-robots-size-world.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/tinyvibratio.jpg,Robotics,"Jul 17, 2019","Researchers have created a new type of tiny 3-D-printed robot that moves by harnessing vibration from piezoelectric actuators, ultrasound sources or even tiny speakers. Swarms of these ""micro-bristle-bots"" might work together ..."
DeepEyedentification: identifying people based on micro eye movements,https://techxplore.com/news/2019-07-deepeyedentification-people-based-micro-eye.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/5d2ee54878f69.jpg,Machine Learning & AI,"Jul 16, 2019","Past cognitive psychology research suggests that eye movements can differ substantially from one individual to another. Interestingly, these individual characteristics in eye movements have been found to be relatively stable ..."
Electrical engineering team develops 'beyond 5G' wireless transceiver,https://techxplore.com/news/2019-07-electrical-team-5g-wireless-transceiver.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/ucielectrica.jpg,Telecom,"Jul 16, 2019","A new wireless transceiver invented by electrical engineers at the University of California, Irvine boosts radio frequencies into 100-gigahertz territory, quadruple the speed of the upcoming 5G, or fifth-generation, wireless ..."
Intel's neuromorphic system surfs next wave in brain-inspired research,https://techxplore.com/news/2019-07-intel-neuromorphic-surfs-brain-inspired.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/intelsneurom.jpg,Hardware,"Jul 16, 2019","A neuromorphic computer that can simulate 8 million neurons is in the news. The term ""neuromorphic"" suggests a design that can mimic the human brain.  And neuromorphic computing? It is described as using very large scale ..."
"New safer, inexpensive way to propel small satellites",https://techxplore.com/news/2019-07-safer-inexpensive-propel-small-satellites.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/newsaferinex.jpg,Engineering,"Jul 16, 2019",Finding inexpensive solutions for propelling CubeSats is one of the most critical components of the rapidly growing industry of commercial launches of satellites the size of a loaf of bread. The small size and relatively ...
A new tool for data scientists and biologists and more,https://techxplore.com/news/2019-07-tool-scientists-biologists.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/2-neuron.jpg,Computer Sciences,"Jul 16, 2019","The social network Linkedin will tell a user how he/she is connected to another. In real life, points of connection are not always that evident. However, identifying patterns or relationships and commonalities among entities ..."
SentiArt: a sentiment analysis tool for profiling characters from world literature texts,https://techxplore.com/news/2019-07-sentiart-sentiment-analysis-tool-profiling.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/sentiartasen.jpg,Machine Learning & AI,"Jul 15, 2019","Arthur Jacobs, a professor and researcher at Freie Universität Berlin, has recently developed SentiArt, a new machine learning technique to carry out sentiment analyses of literary texts, as well as both fictional and non-fictional ..."
Researchers' deep learning algorithm solves Rubik's Cube faster than any human,https://techxplore.com/news/2019-07-deep-algorithm-rubik-cube-faster.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/uciresearche.jpg,Computer Sciences,"Jul 15, 2019","Since its invention by a Hungarian architect in 1974, the Rubik's Cube has furrowed the brows of many who have tried to solve it, but the 3-D logic puzzle is no match for an artificial intelligence system created by researchers ..."
High-performance sodium ion batteries using copper sulfide,https://techxplore.com/news/2019-07-high-performance-sodium-ion-batteries-copper.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/2-highperforma.jpg,Energy & Green Tech,"Jul 15, 2019",Researchers presented a new strategy for extending sodium ion batteries' cyclability using copper sulfide as the electrode material. This strategy has led to high-performance conversion reactions and is expected to advance ...
Study finds online restaurant information can closely predict key neighborhood indicators,https://techxplore.com/news/2019-07-online-restaurant-key-neighborhood-indicators.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2018/restaurant.jpg,Internet,"Jul 15, 2019",Apartment seekers in big cities often use the presence of restaurants to determine if a neighborhood would be a good place to live. It turns out there is a lot to this rule of thumb: MIT urban studies scholars have now found ...
